No.Genome,No.species,Species,Filename,annotation_file,annotation_file_0813,annot_source,genome_first_chr,has_UTR,chr_match,genome_error,annot_error
216,107,Guadua angustifolia,Guadua_angustifolia.fa,Guadua_angustifolia_annos1-cds0-id_typename-nu1-upa1-add_chr0.gid67924.gff,,annotation_file,lcl|Gan01B,False,False,,
219,109,Holcus mollis,GCA_965644205.1_lpHolMoll1.hap2.1_genomic.fna.gz,,Holcus_mollis\Holcus_mollis_GCA_965644105.1_lpHolMoll1.hap1.1_genomic.gtf,annotation_file_0813,OZ286386.1,True,False,,
227,112,Hordeum bulbosum,GCA_963514045.1_Hbulbosum_FB19_011_3_genomic.fna.gz,,Hordeum_bulbosum\Hordeum_bulbosum_GCA_963513915.1_Hbulbosum_Hbulbosum_PI365428_genomic.gtf,annotation_file_0813,OY741220.1,True,False,,
235,115,Hordeum pubiflorum,GCA_000582825.1_Hordeum_pubiflorum_assembly1_genomic.fna.gz,GCA_000582825.1_Hordeum_pubiflorum_assembly1_genomic.gff.gz,,annotation_file,CBMN010000001.1,False,True,,
237,116,Hordeum spontaneum,Chromosome_EC_S1.fasta.gz,EC-S1_pseudomolecules_V1.high_confidence.gff,,annotation_file,chr1H,False,True,,
239,117,Hordeum vulgare,GCA_029782615.1_ASM2978261v1_genomic.fna.gz,EC_S1.gff,,annotation_file,CM056653.1,False,False,,
312,118,Hsuehochloa calcarea,GCA_036346395.1_KIB_Hcal_1_genomic.fna.gz,Ampelocalamus_calcareus_annos1-cds0-id_typename-nu1-upa1-add_chr0.gid67919.gff,,annotation_file,CM070593.1,False,False,,
313,119,Hygroryza aristata,GWHFGLW00000000.1.genome.fasta.gz,GWHFGLW00000000.1.gff.gz,,annotation_file,GWHFGLW00000001.1,False,True,,
316,121,Indocalamus tessellatus,GCA_048537245.1_ASM4853724v1_genomic.fna.gz,Ites_genes.gff,,annotation_file,CM108307.1,False,False,,
319,123,Leersia perrieri,GCA_000325765.3_Lperr_V1.4_genomic.fna.gz,Leersia_perrieri.maker.gff,,annotation_file,CM002476.1,False,False,,
320,124,Leymus chinensis,Lc6_hap_resolved_genome.fa.gz,Lc6.combined.gff3.gz,,annotation_file,Lc1Nsh1,False,True,,
325,127,Lolium multiflorum cv. 'Rabiosa',GCA_030979885.1_Rabiosa_unphased_assembly_genomic.fna.gz,GCA_030979885.1_Rabiosa_unphased_assembly_genomic.gff.gz,,annotation_file,CM061747.1,False,True,,
327,128,Lolium perenne,GCF_019359855.2_Kyuss_2.0_genomic.fna.gz,GCA_019359855.2_Kyuss_2.0_genomic.gff.gz,,annotation_file,NC_067244.2,False,False,,
330,129,Lolium rigidum,GCF_022539505.1_APGP_CSIRO_Lrig_0.1_genomic.fna.gz,GCF_022539505.1_APGP_CSIRO_Lrig_0.1_genomic.gff.gz,,annotation_file,NC_061508.1,False,True,,
333,132,Miscanthus floridulus,GCF_019320115.1_ASM1932011v1_genomic.fna.gz,GCF_019320115.1_ASM1932011v1_genomic.gff.gz,,annotation_file,NC_089580.1,False,True,,
334,133,Miscanthus lutarioriparius,GCA_904845875.1_Mlu_assembly_genomic.fna.gz,GCA_904845875.1_Mlu_assembly_genomic.gff.gz,,annotation_file,CAJGYO010000001.1,False,True,,
341,137,Olyra latifolia,Olyra_latifolia.fa,ola.gff.gz,,annotation_file,gi|7,True,False,,
345,139,Orinus kokonorica,GWHFAJP00000000.1.genome.fasta.gz,GWHFAJP00000000.1.gff.gz,,annotation_file,GWHFAJP00000001.1,False,True,,
350,142,Oryza australiensis,GWHGOKN00000000.2.genome.fasta.gz,GWHGOKN00000000.2.gff.gz,,annotation_file,GWHGOKN00000001.2,False,True,,
365,143,Oryza barthii,GWHBFRD00000000.genome.fasta.gz,GWHBFRD00000000.gff.gz,,annotation_file,GWHBFRD00000001,False,True,,
373,147,Oryza glaberrima,GWHBFQJ00000000.genome.fasta.gz,GWHBFQJ00000000.gff.gz,,annotation_file,GWHBFQJ00000001,False,True,,
390,153,Oryza granulata,GWHAAKB00000000.genome.fasta.gz,1.gene_structure.gff3,,annotation_file,GWHAAKB00000001,True,False,,
392,154,Oryza latifolia,GCA_048174585.1_Oryza_latifolia_Desv_1.0_genome_genomic.fna,GCA_048174585.1_Oryza_latifolia_Desv_1.0_genome_genomic.fna.gz,,annotation_file,CM106789.1,False,NA (no annot chr),,
394,155,Oryza longiglumis,GCA_048014755.1_ASM4801475v1_genomic.fna.gz,GCA_048014755.1_ASM4801475v1_genomic.gbff.gz,,annotation_file,CP143115.1,False,NA (no annot chr),,
395,156,Oryza longistaminata,GCA_009805545.1_ASM980554v1_genomic.fna.gz,GCA_009805545.1_ASM980554v1_genomic.gbff.gz,,annotation_file,CM020178.1,False,NA (no annot chr),,
399,157,Oryza malampuzhaensis,GCA_048564985.1_O_malampuzhaensis_1.0_genomic.fna.gz,GCA_048564985.1_O_malampuzhaensis_1.0_genomic.gbff.gz,,annotation_file,CM108759.1,False,NA (no annot chr),,
403,158,Oryza meridionalis,OM1952.fa,W1952.genome.gff3,,annotation_file,chr1,False,True,,
404,159,Oryza meyeriana,GCA_047899645.1_ASM4789964v1_genomic.fna.gz,GCA_047899645.1_ASM4789964v1_genomic.gbff.gz,,annotation_file,CP157853.1,False,NA (no annot chr),,
406,160,Oryza minuta,GCA_048166525.1_O_minuta_1.0_genomic.fna.gz,GCA_048166525.1_O_minuta_1.0_genomic.gbff.gz,,annotation_file,CM106813.1,False,NA (no annot chr),,
412,163,Oryza punctata,GCA_000573905.2_OpunRS2_genomic.fna.gz,GCA_000573905.2_OpunRS2_genomic.gbff.gz,,annotation_file,CM002488.2,False,NA (no annot chr),,
416,165,Oryza ridleyi,GCA_047772315.1_O_ridleyi_genomic.fna.gz,GCA_047772315.1_O_ridleyi_genomic.gbff.gz,,annotation_file,CP161320.1,False,NA (no annot chr),,
450,166,Oryza rufipogon,wild12.fixed.fa.gz,,Oryza_rufipogon\Oryza_rufipogon_GCA_037997075.1_ASM3799707v1_genomic.gtf,annotation_file_0813,Chr1,True,False,,
606,167,Oryza sativa,GCF_034140825.1_ASM3414082v1_genomic.fna.gz,GCF_034140825.1_ASM3414082v1_genomic.gff.gz,,annotation_file,NC_089035.1,False,True,,
958,170,Otatea glauca,Otatea_glauca.fa,ogl.gff.gz,,annotation_file,lcl|Ogl03B,True,False,,
959,171,Panicum hallii,GCA_003061485.1_PhalliiHAL_v2.1_genomic.fna.gz,GCA_003061485.1_PhalliiHAL_v2.1_genomic.gff.gz,,annotation_file,CM009749.1,False,True,,
961,172,Panicum miliaceum,AJ8.T2T.fasta.gz,AJ8.gff3.gz,,annotation_file,CP142758.1,True,False,,
1000,174,Panicum virgatum,GWHERFR00000000.genome.fasta.gz,,Panicum_virgatum\Panicum_virgatum_GCA_016808335.1_P.virgatum_v5_genomic.gtf,annotation_file_0813,GWHERFR00000001,True,False,,
1003,175,Paspalum notatum,GCA_036689595.1_IICAR_Pnotatum_1.0_genomic.fna.gz,GCA_036689595.1_IICAR_Pnotatum_1.0_genomic.gff.gz,,annotation_file,CP144745.1,False,True,,
1004,176,Paspalum vaginatum,GCA_026573395.1_P.vaginatum_v3.1_genomic.fna.gz,GCA_026573395.1_P.vaginatum_v3.1_genomic.gff.gz,,annotation_file,CM048808.1,False,True,,
1005,177,Pennisetum giganteum,Pgi_genome.fasta.gz,Pgi_gene.gff3.gz,,annotation_file,A1,False,True,,
1020,179,Pennisetum purpureum,elepant_grass_genome.fasta,elephant_grass_genome.gff,,annotation_file,chrA1,False,True,,
1022,180,Pharus latifolius,GCA_019359835.1_ASM1935983v1_genomic.fna.gz,Pharus_latifolius_annos1-cds0-id_typename-nu1-upa1-add_chr0.gid60161.gff,,annotation_file,CM033319.1,False,False,,
1025,182,Phragmites australis,Phragmites_australis.fa,Phragmites_australis_annos1-cds0-id_typename-nu1-upa1-add_chr0.gid59768.gff,,annotation_file,lcl|c1,False,False,,
1026,183,Phyllostachys edulis,Bamboo.WGS.genome.fasta.gz,Bamboo.Hic.gff.gz,,annotation_file,PH02Scaffold00001,True,False,,
1029,184,Phyllostachys violascens,GCA_044048585.1_ASM4404858v1_genomic.fna.gz,Phyllostachys_praecox.coding.gene.V1.20230313.gff,,annotation_file,CM093871.1,True,False,,
1030,185,Poa annua,GCA_026929855.1_FRR_PoAnn_1.0_genomic.fna.gz,Poa_annua_annos1-cds0-id_typename-nu1-upa1-add_chr0.gid63982.gff,,annotation_file,CM049426.1,False,False,,
1043,194,Puccinellia tenuiflora,GWHABKT00000000.genome.fasta.gz,Ptenuiflora_genome_V1.gff3.gz,,annotation_file,GWHABKT00000001,True,False,,
1044,195,Raddia distichophylla,GWHAAKD00000000.genome.fasta.gz,GWHAAKD00000000.gff.gz,,annotation_file,GWHAAKD00000001,True,False,,
1046,196,Raddia guianensis,Raddia_guianensis.fa,rgu.gff.gz,,annotation_file,lcl|Rgu01,True,False,,
1052,202,Saccharum officinarum,So_SXGZ_t2tmonoploid.genome.fasta.gz,So_SXGZ_t2tmonoploid.gff3.gz,,annotation_file,Chr01,False,True,,
1056,204,Saccharum spontaneum,Ss_82-114_t2tmonoploid.genome.fasta.gz,Ss_82-114_t2tmonoploid.gff3.gz,,annotation_file,Chr5,False,True,,
1059,207,Secale cereale,GCA_016097815.1_HAU_Weining_v1.0_genomic.fna.gz,GWHASIY00000000.gff.gz,,annotation_file,CM027771.1,True,False,,
1172,209,Setaria viridis,GCF_005286985.2_Setaria_viridis_v4.0_genomic.fna.gz,GCF_005286985.2_Setaria_viridis_v4.0_genomic.gff.gz,,annotation_file,NC_048263.2,False,True,,
1233,210,Sorghum bicolor,HYZ_Chromosome.fa.gz,SbiHYZv1.gff3.gz,,annotation_file,Chr01,False,True,,
1251,215,Spinifex sericeus,GCA_055683245.1_SpSer_hap2_1.0_genomic.fna.gz,SpSer1.0_gemoma_annotation_hap2.gff,,annotation_file,CM145966.1,False,False,,
1252,216,Spodiopogon sagittifolius,GCA_040448445.1_Spodiopogon_sagittifolius_genomic.fna.gz,GCA_040448445.1_Spodiopogon_sagittifolius_genomic.gbff.gz,,annotation_file,CP159264.1,False,NA (no annot chr),,
1256,218,Sporobolus maritimus,Sporobolus_maritimus_v1.0.fa.gz,Spo_maritimus_gene_annotation.gff3.gz,,annotation_file,SPOMARSCAF01,False,False,,
1257,219,Sporobolus pyramidalis,Sporobolus_pyramidalis.fa,Sporobolus_pyramidalis_annos1-cds0-id_typename-nu1-upa1-add_chr0.gid54807.gff,,annotation_file,lcl|Scaffold2516,False,False,,
1258,220,Sporobolus stapfianus,Sporobolus_stapfianus_Resurrection_Grass.fa,Sporobolus_stapfianus_Resurrection_Grass_annos1-cds0-id_typename-nu1-upa1-add_chr0.gid54805.gff,,annotation_file,lcl|Scaffold11537,False,False,,
1260,222,Stipa capillata,GCA_019208055.1_TSU_Scap_1_genomic.fna.gz,GCA_019208055.1_TSU_Scap_1_genomic.gbff.gz,,annotation_file,JAGXJF010000001.1,False,NA (no annot chr),,
1261,223,Stipagrostis hirtigluma subsp. patula,GCA_050613795.1_ASM5061379v1_genomic.fna.gz,GCA_050613795.1_ASM5061379v1_genomic.gff.gz,,annotation_file,JBNIJW010000001.1,False,True,,
1262,224,Streptochaeta angustifolia,GCA_020804685.1_ISU_Sangustifolia_v1_genomic.fna.gz,GCA_020804685.1_ISU_Sangustifolia_v1_genomic.gbff.gz,,annotation_file,JAHBRV010000001.1,False,NA (no annot chr),,
1263,225,Themeda triandra,GCA_018135685.1_ASM1813568v1_genomic.fna.gz,GCA_018135685.1_ASM1813568v1_genomic.gbff.gz,,annotation_file,JAENPR010000004.1,False,NA (no annot chr),,
1266,227,Thinopyrum intermedium,GCA_050657015.1_SDAU_Thin_1.0_genomic.fna.gz,GCA_050657015.1_SDAU_Thin_1.0_genomic.gbff.gz,,annotation_file,CM116162.1,False,NA (no annot chr),,
1268,228,Thinopyrum obtusiflorum,GCA_036873465.1_4AgS_genomic.fna.gz,,Thinopyrum_obtusiflorum\Thinopyrum_obtusiflorum_GCA_036873465.1_4AgS_genomic.gtf,annotation_file_0813,JAAAWM010000001.1,True,False,,
1269,229,Thyrsostachys siamensis,GCA_051168815.1_ASM5116881v1_genomic.fna.gz,GCA_051168815.1_ASM5116881v1_genomic.gbff.gz,,annotation_file,JBEFOJ010000001.1,False,NA (no annot chr),,
1270,230,Thysanolaena latifolia,GWHFHFW00000000.1.genome.fasta.gz,GWHFHFW00000000.1.gff.gz,,annotation_file,GWHFHFW00000001.1,False,True,,
1271,231,Tripidium arundinaceum,GCA_030439765.1_ASM3043976v1_genomic.fna.gz,GCA_030439765.1_ASM3043976v1_genomic.gbff.gz,,annotation_file,JAHUYU010000106.1,False,NA (no annot chr),,
1298,233,Triticum dicoccoides,GCF_002162155.2_WEW_v2.1_genomic.fna.gz,GCF_002162155.2_WEW_v2.1_genomic.gff.gz,,annotation_file,NC_041380.1,False,True,,
1322,236,Triticum turgidum,GCA_051168695.1_HAU_Langdon_genomic.fna.gz,GCA_051168695.1_HAU_Langdon_genomic.gbff.gz,,annotation_file,CM118260.1,False,NA (no annot chr),,
1324,237,Triticum urartu,WheatTu.genome.fasta.gz,WheatTu.gene.gff,,annotation_file,Tu1,False,True,,
1326,238,Tuctoria greenei,GCA_036927565.1_lpTucGree1.0.hap1_genomic.fna.gz,GCA_036927565.1_lpTucGree1.0.hap1_genomic.gbff.gz,,annotation_file,JAYESD010000001.1,False,NA (no annot chr),,
1329,241,Urochloa ruziziensis,GCA_003016355.1_Bruz_genomic.fna.gz,GCA_003016355.1_Bruz_genomic.gbff.gz,,annotation_file,PVZT01000001.1,False,NA (no annot chr),,
1349,243,Zea mays,GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic.fna.gz,GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic.gbff.gz,,annotation_file,CM039150.1,False,NA (no annot chr),,
1499,244,Zizania latifolia,GWHFFOM00000000.1.genome.fasta.gz,Zizania_latifolia.gene.gff,,annotation_file,GWHFFOM00000001.1,True,False,,
1500,245,Zizania palustris,GCA_019279435.1_ASM1927943v1_genomic.fna.gz,GCA_019279435.1_ASM1927943v1_genomic.gff.gz,,annotation_file,JAAALK010000288.1,False,True,,
1503,247,Zoysia macrostachya,GCA_049640385.1_PBI_Zma_genomic.fna.gz,Zma_FINAL.20chr.repeatmasker.gff,,annotation_file,CM112924.1,False,False,,
1506,250,Zoysia sinica,GCA_041753855.1_CNU_Zsg_1.0_genomic.fna,GCA_041753855.1_CNU_Zsg_1.0_genomic.gbff.gz,,annotation_file,CM085496.1,False,NA (no annot chr),,
