来源*,Species,Ploidy,Filename,annotation_file,Accession name,Order,Family,Clade,APG IV,Chromosome-level,Publish year,Publication,PMID/DOI,Estimated genome size (Mb),Assembled genomesize(Mb),Predicted gene number,Scaffold N50 size (Kb),Contig N50 size(Kb),Sequencing platform,Sequencing platform classification,Country/institution,HiC for scaffoldng,Software of contig assembly,Software of polishing,Software of scaffloding,Software of  HiC scaffoldng,T2T/Pan-genome,Genome links,Annotation links,NA
统计条目,Aegilops speltoides,diploid,Y2032.updata.genome.fa,Y2032.updata.gff3,ssp. speltoides (Y2032),Poales,Poaceae,Commelinids,Monocots,yes,2023/2/23,Plant Communications,10.1016/j.xplc.2023.100567,4600,4880,46348,640450,1710,ONT;Illumina,Other TGS,China,yes,NextDenovo,Nextpolish,LACHESIS,LACHESIS,no,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA802349,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/644/865/GCA_964644865.1_Ae.mutica_hap2_with_organelles/GCA_964644865.1_Ae.mutica_hap2_with_organelles_genomic.gbff.gz,
统计条目,Aegilops tauschii,diploid,GCA_002575655.3_Aet_v6.0_genomic.fna.gz,GCA_002575655.3_Aet_v6.0_genomic.gff.gz,AL8/78,Poales,Poaceae,Commelinids,Monocots,yes,2025/3/7,G3-Genes Genomes Genetics,10.1093/g3journal/jkaf042,4220,4054.7,68383,4055000,31810,PacBio,HiFi,USA,no,HiFiasm,NA,Bionano Solve,NA,no,https://ngdc.cncb.ac.cn/bioproject/browse/PRJNA341983,https://doi.org/10.5061/dryad.bvq83bkjg。,
补充条目,Aegilops tauschii x Triticum turgidum,NA,GCA_050626435.1_ASM5062643v1_genomic.fna.gz,Aegilops_tauschii_x_Triticum_turgidum\Aegilops_tauschii_x_Triticum_turgidum_GCA_050626435.1_ASM5062643v1_genomic.gtf,ASM5062643v1,Poales,Poaceae,Commelinids,Monocots,yes,2025/5/30,NA,GCA_050626435.1,NA,13629.55976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/050/626/Aegilops_tauschii_x_Triticum_turgidum_synthetic_wheat_ASM5062643v1_GCA_050626435.1/GCA_050626435.1_ASM5062643v1_genomic.fna.gz,NA,
统计条目,Aegilops umbellulata,diploid,AeUmbellulata_TA1851_v1.fasta.gz,AeUmbellulata_TA1851_v1.gff3.gz,TA1851,Poales,Poaceae,Commelinids,Monocots,yes,2023/10/25,Scientific Data,10.1038/s41597-023-02658-2,4250,4246.443824,36268,NA,17703.042,PacBio;Illumina,HiFi,Saudi Arabia,yes,Hifiasm;LJA,DeepConsensus,3D-DNA,3D-DNA,no,https://datadryad.org/stash/dataset/doi:10.5061/dryad.05qfttf82,https://doi.org/10.5061/dryad.bvq83bkjg。,
补充条目,Aegilops uniaristata,NA,GCA_052815765.1_ASM5281576v1_genomic.fna.gz,Aegilops_uniaristata\Aegilops_uniaristata_GCA_052815765.1_ASM5281576v1_genomic.gtf,ASM5281576v1,Poales,Poaceae,Commelinids,Monocots,yes,2025/9/24,NA,GCA_052815765.1,NA,4475.943907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/052/815/Aegilops_uniaristata_monocots_ASM5281576v1_GCA_052815765.1/GCA_052815765.1_ASM5281576v1_genomic.fna.gz,NA,
统计条目,Aegilops ventricosa,tetraploid,GWHERCH00000000.genome.fasta.gz,PRODUCTION_45_result.gtf,RM271,Poales,Poaceae,Commelinids,Monocots,yes,2025/1/14,Plant Communications,10.1016/j.xplc.2024.101131,NA,8670,69000,NA,54710,BGI;PacBio,HiFi,China,yes,Hifiasm,NA,NA,Juicer;EndHiC,no,https://ngdc.cncb.ac.cn/gwh/Assembly/83705/show,https://doi.org/10.5061/dryad.bvq83bkjg。,
补充条目,Agropyron cristatum,NA,GCA_051314055.1_ASM5131405v1_genomic.fna.gz,Agropyron_cristatum\Agropyron_cristatum_GCA_051314055.1_ASM5131405v1_genomic.gtf,crested wheatgrass,Poales,Poaceae,Commelinids,Monocots,yes,2025/7/14,NA,GCA_051314055.1,NA,6334.4243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/051/314/Agropyron_cristatum_crested_wheatgrass_ASM5131405v1_GCA_051314055.1/GCA_051314055.1_ASM5131405v1_genomic.fna.gz,NA,
补充条目,Agrostis castellana,NA,GCA_050573615.1_ASM5057361v1_genomic.fna.gz,NA,highland bent,Poales,Poaceae,Commelinids,Monocots,no,2025/5/26,NA,GCA_050573615.1,NA,2089.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/050/573/Agrostis_castellana_highland_bent_ASM5057361v1_GCA_050573615.1/GCA_050573615.1_ASM5057361v1_genomic.fna.gz,NA,
补充条目,Agrostis congestiflora,NA,GCA_050573515.1_ASM5057351v1_genomic.fna.gz,NA,NA,Poales,Poaceae,Commelinids,Monocots,no,2025/5/26,NA,GCA_050573515.1,NA,1737.7488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/050/573/Agrostis_congestiflora_monocots_ASM5057351v1_GCA_050573515.1/GCA_050573515.1_ASM5057351v1_genomic.fna.gz,NA,
统计条目,Agrostis stolonifera,allotetraploid,GCA_052724435.1_A.stonolifera_Declaration_hap1v1.0_genomic.fna.gz,creep_bentv1.0_hap1.gff,haplotype1,Poales,Poaceae,Commelinids,Monocots,yes,2026/1/16,Scientific Data,10.1038/s41597-026-06561-4,NA,2506,75862,NA,NA,PacBio;ONT;Illumina,HiFi,USA,yes,Hifiasm,TGS-GapCloser,YaHS,YaHS,no,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/724/435/GCA_052724435.1_A.stonolifera_Declaration_hap1v1.0/GCA_052724435.1_A.stonolifera_Declaration_hap1v1.0_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/724/435/GCA_052724435.1_A.stonolifera_Declaration_hap1v1.0/GCA_052724435.1_A.stonolifera_Declaration_hap1v1.0_genomic.gbff.gz,
补充条目,Alloteropsis angusta,NA,GCA_037127165.1_AANG_UGA4_genomic.fna.gz,Alloteropsis_angusta\Alloteropsis_angusta_GCA_037127165.1_AANG_UGA4_genomic.gtf,AANG_UGA4,Poales,Poaceae,Commelinids,Monocots,no,2024/3/13,NA,GCA_037127165.1,NA,1535.690757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/037/127/Alloteropsis_angusta_monocots_AANG_UGA4_GCA_037127165.1/GCA_037127165.1_AANG_UGA4_genomic.fna.gz,NA,
统计条目,Alloteropsis semialata,NA,GCA_004135705.1_ASEM_AUS1_V1.0_genomic.fna.gz,Alloteropsis_semialata\Alloteropsis_semialata_GCA_004135705.1_ASEM_AUS1_V1.0_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2019/10/15,PNAS,30787193,1100,750,22043,82050,39.23,Illumina;PacBio,Other TGS,UK,yes,SOAPdenovo;DBG2OLC,NA,SSPACE;HiRise,HiRise,no,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_004135705.1/,https://doi.org/10.5061/dryad.bvq83bkjg。,
统计条目,Alopecurus aequalis,diploid,GCA_964340505.1_Alaeq_EIv0.2_genomic.fna.gz,GCA_964340505.1_Alaeq_EIv0.2_genomic.gff.gz,haplotype 1,Poales,Poaceae,Commelinids,Monocots,yes,2024/12/18,Scientific Data,10.1038/s41597-024-04222-y,3450,2856.592317,33758,NA,347700.133,PacBio;Illumina,HiFi,UK,yes,Hifiasm,NA,YAHS,YAHS,no,https://ngdc.cncb.ac.cn/gwh/ncbi_assembly/2875242/show,https://ngdc.cncb.ac.cn/gwh/ncbi_assembly/2875242/show,
补充条目,Alopecurus geniculatus,NA,GCA_965641495.1_lpAloGeni1.hap1.1_genomic.fna.gz,Alopecurus_geniculatus\Alopecurus_geniculatus_GCA_965641495.1_lpAloGeni1.hap1.1_genomic.gtf,lpAloGeni1.hap1.1,Poales,Poaceae,Commelinids,Monocots,yes,2025/7/13,NA,GCA_965641495.1,NA,6196.785535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/965/641/Alopecurus_geniculatus_monocots_lpAloGeni1.hap1.1_GCA_965641495.1/GCA_965641495.1_lpAloGeni1.hap1.1_genomic.fna.gz,NA,
统计条目,Alopecurus myosuroides,diploid,GCA_028641055.1_Alomy_genome_v1_genomic.fna.gz,Alopecurus_myosuroides\Alopecurus_myosuroides_GCA_028641055.1_Alomy_genome_v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2022/12/1,New Phytologist,10.1111/nph.18655,3400,3572.044634,45263,2255.73,1189.615,PacBio;Illumina,Other TGS,USA,yes,Mecat,Arrow;Pilon,3D-DNA,3D-DNA,no,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_028641055.1/,https://ngdc.cncb.ac.cn/gwh/ncbi_assembly/2875242/show,
补充条目,Amblyopyrum muticum,NA,GCA_052815885.1_AAFC_Aemutica_IPK-AE465_v1_genomic.fna.gz,PRODUCTION_48_result.gtf,NA,Poales,Poaceae,Commelinids,Monocots,no,2025/9/24,NA,GCA_052815885.1,NA,10780.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/052/815/Amblyopyrum_muticum_monocots_AAFC_Aemutica_IPK-AE465_v1_GCA_052815885.1/GCA_052815885.1_AAFC_Aemutica_IPK-AE465_v1_genomic.fna.gz,NA,
统计条目,Ampelocalamus luodianensis,tetraploid,GCA_036346255.1_KIB_Aluo_1_genomic.fna.gz,Ampelocalamus_luodianensis_annos1-cds0-id_typename-nu1-upa1-add_chr0.gid66507.gff,NA,Poales,Poaceae,Commelinids,Monocots,yes,2024/3/15,Nature Genetics,10.1038/s41588-024-01683-0,NA,NA,48870,NA,30.2,Illumina;ONT,ONT,China,yes,Canu;SMARTdenovo;NextDenovo,Racon;Nextpolish;Pilon,NA,LACHESIS,no,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA948693,https://genomevolution.org/coge/NotebookView.pl?nid=3091,
补充条目,Aristida adscensionis,NA,GCA_050947905.1_ASM5094790v1_genomic.fna.gz,GCA_050947905.1_ASM5094790v1_genomic.gff.gz,NA,Poales,Poaceae,Commelinids,Monocots,no,2025/6/17,NA,GCA_050947905.1,NA,451.5123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/050/947/Aristida_adscensionis_monocots_ASM5094790v1_GCA_050947905.1/GCA_050947905.1_ASM5094790v1_genomic.fna.gz,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/050/947/Aristida_adscensionis_monocots_ASM5094790v1_GCA_050947905.1/GCA_050947905.1_ASM5094790v1_genomic.gff.gz,
统计条目,Arundinella anomala,allotetraploid,GCA_055504895.1_ASM5550489v1_genomic.fna.gz,Arundinella_anomala_all_chr_evm.out.HC.TE-filter.gff3,NA,Poales,Poaceae,Commelinids,Monocots,yes,2026/1/9,Nature Plants,10.1038/s41477-025-02183-7,2018,2017.69,78966,109800,87500,PacBio,HiFi,China,yes,Hifiasm,NA,LACHESIS?,HiC-Pro;LACHESIS?,no,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/055/504/895/GCA_055504895.1_ASM5550489v1/GCA_055504895.1_ASM5550489v1_genomic.fna.gz,https://doi.org/10.6084/m9.figshare.30374623,
补充条目,Arundo donax,NA,GWHERLM00000000.genome.fasta.gz,GWHERLM00000000.gff.gz,NA,Poales,Poaceae,Commelinids,Monocots,yes,2024/6/24,NA,GWHERLM00000000,NA,1299.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/gwh/Plants/Arundo_donax_A.donax-V1_GWHERLM00000000/GWHERLM00000000.genome.fasta.gz,https://download.cncb.ac.cn/gwh/Plants/Arundo_donax_A.donaxNAV1_GWHERLM00000000/GWHERLM00000000.gff.gz,
统计条目,Avena abyssinica,tetraploid,GCA_051171295.1_ASM5117129v1_genomic.fna.gz,Avena_abyssinica\Avena_abyssinica_GCA_051171295.1_ASM5117129v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,6840,92661,NA,42060,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://genomevolution.org/coge/NotebookView.pl?nid=3091,
统计条目,Avena agadiriana,tetraploid,GCA_051175325.1_ASM5117532v1_genomic.fna.gz,Avena_agadiriana\Avena_agadiriana_GCA_051175325.1_ASM5117532v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,7060,93848,NA,166650,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://genomevolution.org/coge/NotebookView.pl?nid=3091,
统计条目,Avena atlantica,diploid,Avena_atlantica.faa,Avena_atlantica_annos1-cds0-id_typename-nu1-upa1-add_chr0.gid53337.gff,NA,Poales,Poaceae,Commelinids,Monocots,yes,2019/11/22,BMC Biology,31757219,3720,3685,51223,513000,4310.367,Illumina;PacBio,Other TGS,USA,yes,Canu,Arrow;Pilon,HiRise,HiRise,no,https://genomevolution.org/coge/GenomeInfo.pl?gid=53337,https://genomevolution.org/coge/NotebookView.pl?nid=3091,
统计条目,Avena barbata,allotetraploid,GWHEUEC00000000.1.genome.fasta.gz,Avena_barbata\Avena_barbata_GCA_947310925.1_Abarbata_PI388828_v1.0_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/4/14,Journal of Integrative Plant Biology,10.1111/jipb.13902,6960,6882.44,93821,507161.01,53737.25,PacBio;Illumina,HiFi,China,yes,NA,NA,NA,NA,T2T,https://download.cncb.ac.cn/gwh/Plants/Avena_barbata_Avena_barbata_GWHEUEC00000000.1/GWHEUEC00000000.1.genome.fasta.gz,https://genomevolution.org/coge/NotebookView.pl?nid=3091,
统计条目,Avena brevis,diploid,GCA_051175485.1_ASM5117548v1_genomic.fna.gz,Avena_brevis\Avena_brevis_GCA_051175485.1_ASM5117548v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,3670,44693,NA,121120,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://genomevolution.org/coge/NotebookView.pl?nid=3091,
统计条目,Avena byzantina,hexaploid,GCA_910574625.1_Avena_byzantina_PI258586_v1_assembly_genomic.fna.gz,Avena_byzantina\Avena_byzantina_GCA_910574625.1_Avena_byzantina_PI258586_v1_assembly_genomic.gtf,PI258586,Poales,Poaceae,Commelinids,Monocots,yes,2025/10/29,Nature,10.1038/s41586-025-09919-7,NA,12799,106122,1000,NA,Illumina,NGS,Germany,yes,Minia,NA,SOAPDenovo,EMBOSS,pan-genome,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_910574625.1/,https://genomevolution.org/coge/NotebookView.pl?nid=3091,
统计条目,Avena canariensis,diploid,GCA_051175435.1_ASM5117543v1_genomic.fna.gz,Avena_canariensis\Avena_canariensis_GCA_051175435.1_ASM5117543v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,3610,45916,NA,330510,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://genomevolution.org/coge/NotebookView.pl?nid=3091,
统计条目,Avena clauda,diploid,GCA_051175465.1_ASM5117546v1_genomic.fna.gz,Avena_clauda\Avena_clauda_GCA_051175465.1_ASM5117546v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,4190,42171,NA,91540,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://genomevolution.org/coge/NotebookView.pl?nid=3091,
统计条目,Avena damascena,diploid,GCA_051175425.1_ASM5117542v1_genomic.fna.gz,Avena_damascena\Avena_damascena_GCA_051175425.1_ASM5117542v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,3400,43732,NA,83770,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://genomevolution.org/coge/NotebookView.pl?nid=3091,
统计条目,Avena eriantha,diploid,Avena_eriantha.faa,Avena_eriantha_annos1-cds0-id_typename-nu1-upa1-add_chr0.gid53381.gff,NA,Poales,Poaceae,Commelinids,Monocots,yes,2019/11/22,BMC Biology,31757219,4170,3778,47361,534000,1314.218,Illumina;PacBio,Other TGS,USA,yes,Canu,Arrow;Pilon,HiRise,HiRise,no,https://genomevolution.org/coge/GenomeInfo.pl?gid=53381,https://genomevolution.org/coge/NotebookView.pl?nid=3091,
统计条目,Avena fatua,hexaploid,GWHFGFM00000000.1.genome.fasta.gz,Avena_fatua\Avena_fatua_GCA_947310975.1_Afatua_CN25955_v1.0_genomic.gtf,W1004,Poales,Poaceae,Commelinids,Monocots,yes,2025/11/7,Nature Communications,10.1038/s41467-025-64825-w,NA,10980,135470,508490,473480,Illumina;PacBio;ONT,HiFi;ONT ultra long,China,yes,Hifiasm,NA,3D-DNA;Juicer,3D-DNA;Juicer,no,https://ngdc.cncb.ac.cn/gwh/Assembly/86206/show,https://ngdc.cncb.ac.cn/gwh/Assembly/86206/show,
统计条目,Avena hirtula,diploid,GCA_051175525.1_ASM5117552v1_genomic.fna.gz,Avena_hirtula\Avena_hirtula_GCA_051175525.1_ASM5117552v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,3610,43905,NA,66250,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://ngdc.cncb.ac.cn/gwh/Assembly/86206/show,
统计条目,Avena hispanica,diploid,GCA_051175545.1_ASM5117554v1_genomic.fna.gz,Avena_hispanica\Avena_hispanica_GCA_051175545.1_ASM5117554v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,3940,59955,NA,108300,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://ngdc.cncb.ac.cn/gwh/Assembly/86206/show,
统计条目,Avena insularis,tetraploid,GCA_023614405.1_ASM2361440v1_genomic.fna.gz,Avena_insularis\Avena_insularis_GCA_910574615.1_Avena_insularis_BYU209_v1_assembly_genomic.gtf,CN108634,Poales,Poaceae,Commelinids,Monocots,yes,2022/7/18,Nature Genetics,10.1038/s41588-022-01127-7,7300,7519,89995,NA,5637,ONT;Illumina,Other TGS,China,yes,NextDenovo,Racon;Nextpolish,LACHESIS,LACHESIS,no,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA721787,https://ngdc.cncb.ac.cn/gwh/Assembly/86206/show,
