group,No.Genome,No.species,来源*,Species,Ploidy,Filename,annotation_file,Accession name,Order,Family,Clade,APG IV,Chromosome-level,Publish year,Publication,PMID/DOI,Estimated genome size (Mb),Assembled genomesize(Mb),Predicted gene number,Scaffold N50 size (Kb),Contig N50 size(Kb),Sequencing platform,Sequencing platform classification,Country/institution,HiC for scaffoldng,Software of contig assembly,Software of polishing,Software of scaffloding,Software of  HiC scaffoldng,T2T/Pan-genome,Genome links,Annotation links,genome_path,annotation_path
Huada_FTP_update,16,11,??????,Aegilops speltoides,diploid,GCA_944222845.1_aegilops_speltoides_cv_tivon_genomic.fna.gz,Aegilops_speltoides_GCA_944222845.1_aegilops_speltoides_cv_tivon_genomic.gtf,ssp. speltoides (Y2032),Poales,Poaceae,Commelinids,Monocots,yes,2023/2/23,Plant Communications,10.1016/j.xplc.2023.100567,4600,4880,46348,640450,1710,ONT;Illumina,Other TGS,China,yes,NextDenovo,Nextpolish,LACHESIS,LACHESIS,no,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_speltoides/GCA_944222845.1_aegilops_speltoides_cv_tivon_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_speltoides/Aegilops_speltoides_GCA_944222845.1_aegilops_speltoides_cv_tivon_genomic.gtf,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_speltoides/GCA_944222845.1_aegilops_speltoides_cv_tivon_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_speltoides/Aegilops_speltoides_GCA_944222845.1_aegilops_speltoides_cv_tivon_genomic.gtf
Huada_FTP_update,19,12,??????,Aegilops tauschii,diploid,GCA_965151605.1_lpAegTaus2.hap1.1_genomic.fna.gz,Aegilops_tauschii_GCA_965151605.1_lpAegTaus2.hap1.1_genomic.gtf,AL8/78,Poales,Poaceae,Commelinids,Monocots,yes,2025/3/7,G3-Genes Genomes Genetics,10.1093/g3journal/jkaf042,4220,4054.70,68383,4055000,31810,PacBio,HiFi,USA,no,HiFiasm,NA,Bionano Solve,NA,no,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_tauschii/GCA_965151605.1_lpAegTaus2.hap1.1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_tauschii/Aegilops_tauschii_GCA_965151605.1_lpAegTaus2.hap1.1_genomic.gtf,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_tauschii/GCA_965151605.1_lpAegTaus2.hap1.1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_tauschii/Aegilops_tauschii_GCA_965151605.1_lpAegTaus2.hap1.1_genomic.gtf
原始数据可用,25,13,???????,Aegilops tauschii x Triticum turgidum,NA,GCA_050626435.1_ASM5062643v1_genomic.fna.gz,Aegilops_tauschii_x_Triticum_turgidum_GCA_050626435.1_ASM5062643v1_genomic.gtf,ASM5062643v1,Poales,Poaceae,Commelinids,Monocots,yes,2025/5/30,NA,GCA_050626435.1,NA,13629.55976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/050/626/Aegilops_tauschii_x_Triticum_turgidum_synthetic_wheat_ASM5062643v1_GCA_050626435.1/GCA_050626435.1_ASM5062643v1_genomic.fna.gz,NA,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_050626435.1_ASM5062643v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf/Aegilops_tauschii_x_Triticum_turgidum/Aegilops_tauschii_x_Triticum_turgidum_GCA_050626435.1_ASM5062643v1_genomic.gtf
Huada_FTP_update,27,14,??????,Aegilops umbellulata,diploid,GCA_032464435.1_ASM3246443v1_genomic.fna.gz,Aegilops_umbellulata_GCA_032464435.1_ASM3246443v1_genomic.gtf,TA1851,Poales,Poaceae,Commelinids,Monocots,yes,2023/10/25,Scientific Data,10.1038/s41597-023-02658-2,4250.00 ,4246.443824,36268,NA,17703.042,PacBio;Illumina,HiFi,Saudi Arabia,yes,Hifiasm;LJA,DeepConsensus,3D-DNA,3D-DNA,no,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_umbellulata/GCA_032464435.1_ASM3246443v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_umbellulata/Aegilops_umbellulata_GCA_032464435.1_ASM3246443v1_genomic.gtf,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_umbellulata/GCA_032464435.1_ASM3246443v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_umbellulata/Aegilops_umbellulata_GCA_032464435.1_ASM3246443v1_genomic.gtf
原始数据可用,28,15,???????,Aegilops uniaristata,NA,GCA_052815765.1_ASM5281576v1_genomic.fna.gz,Aegilops_uniaristata_GCA_052815765.1_ASM5281576v1_genomic.gtf,ASM5281576v1,Poales,Poaceae,Commelinids,Monocots,yes,2025/9/24,NA,GCA_052815765.1,NA,4475.943907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/052/815/Aegilops_uniaristata_monocots_ASM5281576v1_GCA_052815765.1/GCA_052815765.1_ASM5281576v1_genomic.fna.gz,NA,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_052815765.1_ASM5281576v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf/Aegilops_uniaristata/Aegilops_uniaristata_GCA_052815765.1_ASM5281576v1_genomic.gtf
非UTR-缺注释,29,16,统计条目,Aegilops ventricosa,tetraploid,GWHERCH00000000.genome.fasta.gz,PRODUCTION_45_result.gtf,RM271,Poales,Poaceae,Commelinids,Monocots,yes,2025/1/14,Plant Communications,10.1016/j.xplc.2024.101131,NA,8670,69000,NA,54710,BGI;PacBio,HiFi,China,yes,Hifiasm,NA,NA,Juicer;EndHiC,no,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GWHERCH00000000.genome.fasta.gz,NA,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GWHERCH00000000.genome.fasta.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/PRODUCTION_45_result.gtf
原始数据可用,30,17,???????,Agropyron cristatum,NA,GCA_051314055.1_ASM5131405v1_genomic.fna.gz,Agropyron_cristatum_GCA_051314055.1_ASM5131405v1_genomic.gtf,crested wheatgrass,Poales,Poaceae,Commelinids,Monocots,yes,2025/7/14,NA,GCA_051314055.1,NA,6334.4243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/051/314/Agropyron_cristatum_crested_wheatgrass_ASM5131405v1_GCA_051314055.1/GCA_051314055.1_ASM5131405v1_genomic.fna.gz,NA,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_051314055.1_ASM5131405v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf/Agropyron_cristatum/Agropyron_cristatum_GCA_051314055.1_ASM5131405v1_genomic.gtf
非UTR-缺注释,31,18,补充条目,Agrostis castellana,NA,GCA_050573615.1_ASM5057361v1_genomic.fna.gz,GCA_050573615.1_ASM5057361v1_genomic.fna.gz.gtf,highland bent,Poales,Poaceae,Commelinids,Monocots,no,2025/5/26,NA,GCA_050573615.1,NA,2089.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_050573615.1_ASM5057361v1_genomic.fna.gz,NA,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_050573615.1_ASM5057361v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/GCA_050573615.1_ASM5057361v1_genomic.fna.gz.gtf
非UTR-缺注释,32,19,补充条目,Agrostis congestiflora,NA,GCA_050573515.1_ASM5057351v1_genomic.fna.gz,GCA_050573515.1_ASM5057351v1_genomic.fna.gz.gtf,NA,Poales,Poaceae,Commelinids,Monocots,no,2025/5/26,NA,GCA_050573515.1,NA,1737.7488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_050573515.1_ASM5057351v1_genomic.fna.gz,NA,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_050573515.1_ASM5057351v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/GCA_050573515.1_ASM5057351v1_genomic.fna.gz.gtf
Huada_FTP_update,33,20,??????,Agrostis stolonifera,allotetraploid,GCA_052724335.1_A.stonolifera_Declaration_hap2v1.0_genomic.fna.gz,Agrostis_stolonifera_GCA_052724335.1_A.stonolifera_Declaration_hap2v1.0_genomic.gtf,haplotype1,Poales,Poaceae,Commelinids,Monocots,yes,2026/1/16,Scientific Data,10.1038/s41597-026-06561-4,NA,2506,75862,NA,NA,PacBio;ONT;Illumina,HiFi,USA,yes,Hifiasm,TGS-GapCloser,YaHS,YaHS,no,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Agrostis_stolonifera/GCA_052724335.1_A.stonolifera_Declaration_hap2v1.0_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Agrostis_stolonifera/Agrostis_stolonifera_GCA_052724335.1_A.stonolifera_Declaration_hap2v1.0_genomic.gtf,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Agrostis_stolonifera/GCA_052724335.1_A.stonolifera_Declaration_hap2v1.0_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Agrostis_stolonifera/Agrostis_stolonifera_GCA_052724335.1_A.stonolifera_Declaration_hap2v1.0_genomic.gtf
原始数据可用,35,21,???????,Alloteropsis angusta,NA,GCA_037127165.1_AANG_UGA4_genomic.fna.gz,Alloteropsis_angusta_GCA_037127165.1_AANG_UGA4_genomic.gtf,AANG_UGA4,Poales,Poaceae,Commelinids,Monocots,no,2024/3/13,NA,GCA_037127165.1,NA,1535.690757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/037/127/Alloteropsis_angusta_monocots_AANG_UGA4_GCA_037127165.1/GCA_037127165.1_AANG_UGA4_genomic.fna.gz,NA,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_037127165.1_AANG_UGA4_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf3/Alloteropsis_angusta/Alloteropsis_angusta_GCA_037127165.1_AANG_UGA4_genomic.gtf
原始数据可用,36,22,??????,Alloteropsis semialata,NA,GCA_004135705.1_ASEM_AUS1_V1.0_genomic.fna.gz,Alloteropsis_semialata_GCA_004135705.1_ASEM_AUS1_V1.0_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2019/10/15,PNAS,30787193,1100,750,22043,82050,39.23,Illumina;PacBio,Other TGS,UK,yes,SOAPdenovo;DBG2OLC,NA,SSPACE;HiRise,HiRise,no,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_004135705.1/,https://doi.org/10.5061/dryad.bvq83bkjg??,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_004135705.1_ASEM_AUS1_V1.0_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf/Alloteropsis_semialata/Alloteropsis_semialata_GCA_004135705.1_ASEM_AUS1_V1.0_genomic.gtf
原始数据可用,37,23,??????,Alopecurus aequalis,diploid,GCA_964340505.1_Alaeq_EIv0.2_genomic.fna.gz,GCA_964340505.1_Alaeq_EIv0.2_genomic.gff.gz,haplotype 1,Poales,Poaceae,Commelinids,Monocots,yes,2024/12/18,Scientific Data,10.1038/s41597-024-04222-y,3450,2856.592317,33758,NA,347700.133,PacBio;Illumina,HiFi,UK,yes,Hifiasm,NA,YAHS,YAHS,no,https://ngdc.cncb.ac.cn/gwh/ncbi_assembly/2875242/show,https://ngdc.cncb.ac.cn/gwh/ncbi_assembly/2875242/show,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_964340505.1_Alaeq_EIv0.2_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/GCA_964340505.1_Alaeq_EIv0.2_genomic.gff.gz
原始数据可用,38,24,???????,Alopecurus geniculatus,NA,GCA_965641495.1_lpAloGeni1.hap1.1_genomic.fna.gz,Alopecurus_geniculatus_GCA_965641495.1_lpAloGeni1.hap1.1_genomic.gtf,lpAloGeni1.hap1.1,Poales,Poaceae,Commelinids,Monocots,yes,2025/7/13,NA,GCA_965641495.1,NA,6196.785535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/965/641/Alopecurus_geniculatus_monocots_lpAloGeni1.hap1.1_GCA_965641495.1/GCA_965641495.1_lpAloGeni1.hap1.1_genomic.fna.gz,NA,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_965641495.1_lpAloGeni1.hap1.1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf/Alopecurus_geniculatus/Alopecurus_geniculatus_GCA_965641495.1_lpAloGeni1.hap1.1_genomic.gtf
原始数据可用,40,25,??????,Alopecurus myosuroides,diploid,GCA_028641055.1_Alomy_genome_v1_genomic.fna.gz,Alopecurus_myosuroides_GCA_028641055.1_Alomy_genome_v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2022/12/1,New Phytologist,10.1111/nph.18655,3400,3572.044634,45263,2255.73,1189.615,PacBio;Illumina,Other TGS,USA,yes,Mecat,Arrow;Pilon,3D-DNA,3D-DNA,no,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_028641055.1/,https://ngdc.cncb.ac.cn/gwh/ncbi_assembly/2875242/show,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_028641055.1_Alomy_genome_v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf/Alopecurus_myosuroides/Alopecurus_myosuroides_GCA_028641055.1_Alomy_genome_v1_genomic.gtf
非UTR-缺注释,41,26,补充条目,Amblyopyrum muticum,NA,GCA_052815885.1_AAFC_Aemutica_IPK-AE465_v1_genomic.fna.gz,PRODUCTION_48_result.gtf,NA,Poales,Poaceae,Commelinids,Monocots,no,2025/9/24,NA,GCA_052815885.1,NA,10780.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_052815885.1_AAFC_Aemutica_IPK-AE465_v1_genomic.fna.gz,NA,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_052815885.1_AAFC_Aemutica_IPK-AE465_v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/PRODUCTION_48_result.gtf
Huada_FTP_update,42,27,??????,Ampelocalamus luodianensis,tetraploid,GCA_036346255.1_KIB_Aluo_1_genomic.fna.gz,Ampelocalamus_luodianensis_GCA_036346255.1_KIB_Aluo_1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2024/3/15,Nature Genetics,10.1038/s41588-024-01683-0,NA,NA,48870,NA,30.2,Illumina;ONT,ONT,China,yes,Canu;SMARTdenovo;NextDenovo,Racon;Nextpolish;Pilon,NA,LACHESIS,no,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Ampelocalamus_luodianensis/GCA_036346255.1_KIB_Aluo_1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Ampelocalamus_luodianensis/Ampelocalamus_luodianensis_GCA_036346255.1_KIB_Aluo_1_genomic.gtf,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Ampelocalamus_luodianensis/GCA_036346255.1_KIB_Aluo_1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Ampelocalamus_luodianensis/Ampelocalamus_luodianensis_GCA_036346255.1_KIB_Aluo_1_genomic.gtf
Huada_FTP_update,43,28,???????,Aristida adscensionis,NA,GCA_050947905.1_ASM5094790v1_genomic.fna.gz,Aristida_adscensionis_GCA_050947905.1_ASM5094790v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,no,2025/6/17,NA,GCA_050947905.1,NA,451.5123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aristida_adscensionis/GCA_050947905.1_ASM5094790v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aristida_adscensionis/Aristida_adscensionis_GCA_050947905.1_ASM5094790v1_genomic.gtf,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aristida_adscensionis/GCA_050947905.1_ASM5094790v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aristida_adscensionis/Aristida_adscensionis_GCA_050947905.1_ASM5094790v1_genomic.gtf
UTR-HUADA问题,44,29,统计条目,Arundinella anomala,allotetraploid,GCA_055504895.1_ASM5550489v1_genomic.fna.gz,PRODUCTION_112_result.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2026/1/9,Nature Plants,10.1038/s41477-025-02183-7,2018,2017.69,78966,109800,87500,PacBio,HiFi,China,yes,Hifiasm,NA,LACHESIS?,HiC-Pro;LACHESIS?,no,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Arundinella_anomala/GCA_055504895.1_ASM5550489v1_genomic.fna.gz,NA,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_055504895.1_ASM5550489v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/PRODUCTION_112_result.gtf
